k genomic.kmers cov.cutoff
15 942511 84
17 1508292 51
19 1979456 17
21 1983925 34
23 2465636 11
25 2099223 29
27 2409337 23
31 1785230 29
41 1725364 11
51 1453116 19
61 950984 20
71 588084 13
81 413742 11
91 206305 13
