k genomic.kmers cov.cutoff
15 3107490 70
17 5777746 19
19 11735701 21
21 14681240 16
23 11765474 13
25 9873342 21
27 11321059 18
31 10046715 18
41 9561714 15
51 3641683 14
61 6827099 11
71 4938490 9
81 656407 6
91 116825 34
