k genomic.kmers cov.cutoff
15 3603142 69
17 3902028 56
19 11352542 19
21 14946294 17
23 19330883 12
25 15569660 15
27 16307048 14
31 14676158 14
41 11678315 14
51 9470395 11
61 8411465 11
71 6272890 10
81 3400515 9
91 259247 23
