k genomic.kmers cov.cutoff
21 2723355 18
25 3410531 20
27 3469796 11
29 3160070 12
31 3053315 19
33 2935467 19
35 2648422 13
37 2963401 17
41 2643598 17
51 2447234 9
61 1426681 12
71 1211308 5
81 784119 7
91 377650 9
