k genomic.kmers cov.cutoff
21 2563642 58
25 1916426 71
27 2788473 47
29 3231651 16
31 2780282 43
33 2846750 18
35 3036239 34
37 3121175 32
41 2267003 40
51 2392800 15
61 2080188 13
71 1547237 21
81 1074574 11
91 549271 14
