k genomic.kmers cov.cutoff
15 917165 31
17 1532659 20
19 1864217 16
21 1960313 13
23 1997710 13
25 1730341 34
27 1840369 14
31 1592933 31
41 1509306 11
51 1054893 24
61 754203 12
71 564528 11
81 436166 8
91 157545 14
