k genomic.kmers cov.cutoff
15 1092623 27
17 1892132 41
19 1964757 39
21 2197834 14
23 2432323 10
25 2203551 29
27 2181366 14
31 2068571 26
41 1748463 23
51 1393783 21
61 1010256 12
71 812745 16
81 534950 14
91 251143 12
