k genomic.kmers cov.cutoff
21 7837349 17
25 9169221 13
27 7641904 10
29 7062874 11
31 7065418 14
33 7027093 10
35 7391058 12
37 6222805 13
41 4809840 11
51 5223265 10
61 2570349 10
71 2323299 10
81 883242 8
91 269005 20
