k genomic.kmers cov.cutoff
15 3816748 15
17 5192877 30
19 7268677 20
21 8326649 16
23 6009139 16
25 8644183 14
27 7898791 10
31 6053135 12
41 5746876 13
51 3428193 11
61 2349798 11
71 2103998 11
81 833124 15
91 351750 7
