k genomic.kmers cov.cutoff
21 8074222 30
31 8190088 44
35 12743472 26
37 12503010 25
39 12150792 25
41 10703383 28
43 12432314 23
45 8204835 32
47 9096844 28
51 8462638 27
61 8833993 20
71 8069521 15
81 5198441 14
91 1843811 8
