k genomic.kmers cov.cutoff
15 13967622 51
17 13785287 43
19 20065243 27
21 20613425 25
23 15349858 24
25 17960059 26
27 17297927 26
31 17282203 23
41 12020090 28
51 12239272 21
61 10868183 18
71 9276434 14
81 7019540 11
91 3109973 10
