k genomic.kmers cov.cutoff
15 1676682 63
17 2298893 40
19 2805874 17
21 2771056 16
23 3006355 14
25 3274656 11
27 3211456 20
31 2371510 16
41 2185061 14
51 2222119 9
61 1787969 13
71 1083906 10
81 747535 11
91 329274 7
