k genomic.kmers cov.cutoff
15 2046679 78
17 6025237 26
19 7590955 18
21 9070599 14
23 8521937 10
25 8091631 10
27 7771853 14
31 8288501 11
41 5147352 10
51 4657469 11
61 3157729 11
71 1716384 13
81 839281 9
91 236887 22
