k genomic.kmers cov.cutoff
15 2193553 27
17 10954213 26
19 13662198 20
21 15297170 17
23 14834568 17
25 11433875 16
27 12233640 15
31 14422338 11
41 12534940 10
51 9740422 13
61 4440868 12
71 6448551 10
81 2470857 6
91 237378 10
