k genomic.kmers cov.cutoff
15 7647340 58
17 10263301 37
19 13190726 17
21 12399077 18
23 15252341 19
25 14810843 12
27 13684640 19
31 13230310 17
41 11470079 15
51 9809361 13
61 6927880 10
71 5754484 10
81 3658920 9
91 1371734 7
