k genomic.kmers cov.cutoff
15 3598346 68
17 16530486 13
19 13025008 20
21 16082531 12
23 14415895 17
25 14325845 16
27 13904654 16
31 13860406 15
41 13410420 12
51 10140424 12
61 8093723 11
71 6021850 10
81 1354671 8
91 213321 26
