k genomic.kmers cov.cutoff
15 7359205 61
17 10938473 37
19 15252128 15
21 16617252 18
23 17731186 12
25 14095633 15
27 13854894 15
31 13071398 14
41 13157161 13
51 10628039 12
61 8600162 11
71 5819230 11
81 4231577 9
91 1489190 7
