k genomic.kmers cov.cutoff
15 2094931 79
17 2038350 72
19 3287807 24
21 3201877 51
23 3451446 22
25 3264589 44
27 2889504 45
31 3163726 40
41 2915361 33
51 2389866 19
61 2160430 24
71 1728069 14
81 1406000 15
91 775052 12
