k genomic.kmers cov.cutoff
15 7934841 15
17 11101524 14
19 12339729 22
21 13705549 18
23 13359514 17
25 12908412 16
27 11826373 13
31 12240883 15
41 9805451 10
51 8640791 11
61 6574082 11
71 3502183 10
81 2348203 8
91 922996 12
