k genomic.kmers cov.cutoff
15 1957589 67
17 2575414 43
19 5428972 21
21 6282753 17
23 6304153 16
25 5617082 16
27 5476174 16
31 5130787 10
41 4000896 13
51 2644997 9
61 2158335 11
71 814945 18
81 373532 23
91 209375 9
