k genomic.kmers cov.cutoff
21 2044890 35
25 2327686 27
27 2114864 29
29 2033886 29
31 2078704 27
33 2485588 10
35 2136686 23
37 1975750 23
41 1768368 23
51 1418269 21
61 1421502 8
71 775977 17
81 529337 14
91 257738 8
