k genomic.kmers cov.cutoff
21 6419455 18
25 5461766 13
27 6148241 15
29 6054379 15
31 6174595 14
33 5259061 11
35 4245320 13
37 6053432 8
41 3680050 12
51 3195577 9
61 3022969 10
71 1087333 10
81 660155 9
91 244054 18
