k genomic.kmers cov.cutoff
15 1982776 69
17 5250253 26
19 7825265 9
21 7481066 10
23 6656159 16
25 6486548 15
27 5341602 13
31 4734133 13
41 4703848 9
51 3226232 10
61 2841581 11
71 1500650 13
81 544539 11
91 251555 18
