k genomic.kmers cov.cutoff
15 1744038 59
17 2552373 34
19 2773705 29
21 2799771 17
23 2540259 17
25 3063951 21
27 3134807 20
31 2499862 15
41 2466063 11
51 1995817 16
61 1646376 13
71 1225188 12
81 765052 10
91 244665 9
