k genomic.kmers cov.cutoff
15 4035269 66
17 4409176 51
19 4592790 44
21 6327956 31
23 5165730 35
25 4809061 35
27 4880370 32
31 4699029 30
41 4010278 26
51 3341232 15
61 2860446 20
71 2019587 19
81 1369999 16
91 727541 10
