k genomic.kmers cov.cutoff
15 1769375 103
17 2925704 65
19 4335537 18
21 4986289 16
23 5398648 31
25 5303263 13
27 4419606 17
31 3902554 35
41 3331168 31
51 3826759 21
61 2151039 15
71 2014973 18
81 1679122 13
91 543951 10
