k genomic.kmers cov.cutoff
15 2436380 59
17 3218326 43
19 6612037 21
21 6822078 19
23 6481020 12
25 6969339 16
27 7696289 13
31 6095822 15
41 4982583 13
51 3230884 10
61 2586668 11
71 1128426 16
81 495955 19
91 207489 20
