k genomic.kmers cov.cutoff
15 5478686 19
17 9140608 34
19 14766872 12
21 14580985 17
23 13760723 17
25 13980407 15
27 14403240 10
31 12945361 10
41 9085434 12
51 9100538 11
61 6610361 11
71 4569194 11
81 2344345 12
91 931557 12
