k genomic.kmers cov.cutoff
15 2143647 63
17 4932694 26
19 6366287 12
21 6534045 17
23 6467965 16
25 8193045 5
27 5718794 11
31 5992499 9
41 5583020 11
51 3746245 11
61 2437617 11
71 1204661 15
81 541369 18
91 208794 21
