k genomic.kmers cov.cutoff
15 1881799 51
17 2964653 12
19 3143305 24
21 2915595 25
23 3277218 11
25 2639739 14
27 2628129 14
31 2512692 21
41 2053358 19
51 1658197 17
61 1081045 12
71 1076989 11
81 666529 10
91 228246 8
